Date,Address,Species,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,year,month,week,day,PrecipTotal_1dayb,PrecipTotal_2dayb,PrecipTotal_3dayb,PrecipTotal_4dayb,PrecipTotal_5dayb,PrecipTotal_6dayb,PrecipTotal_7dayb,DewPoint_1dayb,DewPoint_2dayb,DewPoint_3dayb,DewPoint_4dayb,DewPoint_5dayb,DewPoint_6dayb,DewPoint_7dayb,Tavg_1dayb,Tavg_2dayb,Tavg_3dayb,Tavg_4dayb,Tavg_5dayb,Tavg_6dayb,Tavg_7dayb,WetBulb_1dayb,WetBulb_2dayb,WetBulb_3dayb,WetBulb_4dayb,WetBulb_5dayb,WetBulb_6dayb,WetBulb_7dayb
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,9,1,0,1,88,60,74,10,58,65,0,9,421,1917,BR HZ,0,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,22,29,0.0,0.04,1.01,0.0,0.02,0.0,0.0,47.0,47.0,55.0,44.0,54.0,49.0,46.0,65.0,66.0,57.0,63.0,76.0,75.0,71.0,56.0,56.0,56.0,53.0,63.0,61.0,58.0
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,T002,41.95469,-87.800991,9,1,0,1,88,60,74,10,58,65,0,9,421,1917,BR HZ,0,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,22,29,0.0,0.04,1.01,0.0,0.02,0.0,0.0,47.0,47.0,55.0,44.0,54.0,49.0,46.0,65.0,66.0,57.0,63.0,76.0,75.0,71.0,56.0,56.0,56.0,53.0,63.0,61.0,58.0
2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,T007,41.994991,-87.769279,9,1,0,1,88,60,74,10,58,65,0,9,421,1917,BR HZ,0,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,22,29,0.0,0.04,1.01,0.0,0.02,0.0,0.0,47.0,47.0,55.0,44.0,54.0,49.0,46.0,65.0,66.0,57.0,63.0,76.0,75.0,71.0,56.0,56.0,56.0,53.0,63.0,61.0,58.0
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,8,1,0,1,88,60,74,10,58,65,0,9,421,1917,BR HZ,0,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,22,29,0.0,0.04,1.01,0.0,0.02,0.0,0.0,47.0,47.0,55.0,44.0,54.0,49.0,46.0,65.0,66.0,57.0,63.0,76.0,75.0,71.0,56.0,56.0,56.0,53.0,63.0,61.0,58.0
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,T015,41.974089,-87.824812,8,4,0,1,88,60,74,10,58,65,0,9,421,1917,BR HZ,0,0,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,5,22,29,0.0,0.04,1.01,0.0,0.02,0.0,0.0,47.0,47.0,55.0,44.0,54.0,49.0,46.0,65.0,66.0,57.0,63.0,76.0,75.0,71.0,56.0,56.0,56.0,53.0,63.0,61.0,58.0
2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,T045,41.9216,-87.666455,8,2,0,2,88,65,77,10,59,66,0,12,421,1917,BR HZ,0,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,22,29,0.0,0.08,0.28,0.09,0.0,0.0,0.0,49.0,49.0,55.0,46.0,53.0,48.0,44.0,65.0,67.0,60.0,62.0,77.0,78.0,74.0,57.0,57.0,57.0,53.0,63.0,61.0,58.0
2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,T046,41.891118,-87.65449100000002,8,1,0,2,88,65,77,10,59,66,0,12,421,1917,BR HZ,0,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,22,29,0.0,0.08,0.28,0.09,0.0,0.0,0.0,49.0,49.0,55.0,46.0,53.0,48.0,44.0,65.0,67.0,60.0,62.0,77.0,78.0,74.0,57.0,57.0,57.0,53.0,63.0,61.0,58.0
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,8,1,0,2,88,65,77,10,59,66,0,12,421,1917,BR HZ,0,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,22,29,0.0,0.08,0.28,0.09,0.0,0.0,0.0,49.0,49.0,55.0,46.0,53.0,48.0,44.0,65.0,67.0,60.0,62.0,77.0,78.0,74.0,57.0,57.0,57.0,53.0,63.0,61.0,58.0
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,T048,41.867108,-87.654224,8,2,0,2,88,65,77,10,59,66,0,12,421,1917,BR HZ,0,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,22,29,0.0,0.08,0.28,0.09,0.0,0.0,0.0,49.0,49.0,55.0,46.0,53.0,48.0,44.0,65.0,67.0,60.0,62.0,77.0,78.0,74.0,57.0,57.0,57.0,53.0,63.0,61.0,58.0
2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,T049,41.896282,-87.655232,8,1,0,2,88,65,77,10,59,66,0,12,421,1917,BR HZ,0,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,22,29,0.0,0.08,0.28,0.09,0.0,0.0,0.0,49.0,49.0,55.0,46.0,53.0,48.0,44.0,65.0,67.0,60.0,62.0,77.0,78.0,74.0,57.0,57.0,57.0,53.0,63.0,61.0,58.0
2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,8,1,0,2,88,65,77,10,59,66,0,12,421,1917,BR HZ,0,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,22,29,0.0,0.08,0.28,0.09,0.0,0.0,0.0,49.0,49.0,55.0,46.0,53.0,48.0,44.0,65.0,67.0,60.0,62.0,77.0,78.0,74.0,57.0,57.0,57.0,53.0,63.0,61.0,58.0
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,8,2,0,2,88,65,77,10,59,66,0,12,421,1917,BR HZ,0,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,22,29,0.0,0.08,0.28,0.09,0.0,0.0,0.0,49.0,49.0,55.0,46.0,53.0,48.0,44.0,65.0,67.0,60.0,62.0,77.0,78.0,74.0,57.0,57.0,57.0,53.0,63.0,61.0,58.0
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,T054,41.921965,-87.632085,8,3,0,2,88,65,77,10,59,66,0,12,421,1917,BR HZ,0,0,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,5,22,29,0.0,0.08,0.28,0.09,0.0,0.0,0.0,49.0,49.0,55.0,46.0,53.0,48.0,44.0,65.0,67.0,60.0,62.0,77.0,78.0,74.0,57.0,57.0,57.0,53.0,63.0,61.0,58.0
